"Step","ctrl_cost 0.5 ant box weight 1 - valid_returns","ctrl_cost 0.5 ant box weight 1 - valid_returns__MIN","ctrl_cost 0.5 ant box weight 1 - valid_returns__MAX"
"0","-180.3484344482422","-180.3484344482422","-180.3484344482422"
"1","-177.8506622314453","-177.8506622314453","-177.8506622314453"
"2","-180.50643920898438","-180.50643920898438","-180.50643920898438"
"3","-177.14674377441406","-177.14674377441406","-177.14674377441406"
"4","-177.1657257080078","-177.1657257080078","-177.1657257080078"
"5","-178.19009399414062","-178.19009399414062","-178.19009399414062"
"6","-178.95590209960938","-178.95590209960938","-178.95590209960938"
"7","-174.2230224609375","-174.2230224609375","-174.2230224609375"
"8","-178.64085388183594","-178.64085388183594","-178.64085388183594"
"9","-174.7959747314453","-174.7959747314453","-174.7959747314453"
"10","-174.97898864746094","-174.97898864746094","-174.97898864746094"
"11","-175.47909545898438","-175.47909545898438","-175.47909545898438"
"12","-175.8064422607422","-175.8064422607422","-175.8064422607422"
"13","-175.26019287109375","-175.26019287109375","-175.26019287109375"
"14","-175.6670379638672","-175.6670379638672","-175.6670379638672"
"15","-173.57862854003906","-173.57862854003906","-173.57862854003906"
"16","-173.1501922607422","-173.1501922607422","-173.1501922607422"
"17","-173.80836486816406","-173.80836486816406","-173.80836486816406"
"18","-173.69593811035156","-173.69593811035156","-173.69593811035156"
"19","-174.11204528808594","-174.11204528808594","-174.11204528808594"
"20","-173.0522918701172","-173.0522918701172","-173.0522918701172"
"21","-173.58502197265625","-173.58502197265625","-173.58502197265625"
"22","-169.54937744140625","-169.54937744140625","-169.54937744140625"
"23","-173.63143920898438","-173.63143920898438","-173.63143920898438"
"24","-172.64376831054688","-172.64376831054688","-172.64376831054688"
"25","-171.60482788085938","-171.60482788085938","-171.60482788085938"
"26","-169.96719360351562","-169.96719360351562","-169.96719360351562"
"27","-170.6804656982422","-170.6804656982422","-170.6804656982422"
"28","-173.1544189453125","-173.1544189453125","-173.1544189453125"
"29","-172.85728454589844","-172.85728454589844","-172.85728454589844"
"30","-171.22628784179688","-171.22628784179688","-171.22628784179688"
"31","-170.95883178710938","-170.95883178710938","-170.95883178710938"
"32","-170.7420654296875","-170.7420654296875","-170.7420654296875"
"33","-170.376953125","-170.376953125","-170.376953125"
"34","-169.21719360351562","-169.21719360351562","-169.21719360351562"
"35","-168.83863830566406","-168.83863830566406","-168.83863830566406"
"36","-169.25291442871094","-169.25291442871094","-169.25291442871094"
"37","-171.52774047851562","-171.52774047851562","-171.52774047851562"
"38","-168.94012451171875","-168.94012451171875","-168.94012451171875"
"39","-169.7933807373047","-169.7933807373047","-169.7933807373047"
"40","-170.1115264892578","-170.1115264892578","-170.1115264892578"
"41","-167.03402709960938","-167.03402709960938","-167.03402709960938"
"42","-167.11740112304688","-167.11740112304688","-167.11740112304688"
"43","-167.54225158691406","-167.54225158691406","-167.54225158691406"
"44","-169.20640563964844","-169.20640563964844","-169.20640563964844"
"45","-168.0565948486328","-168.0565948486328","-168.0565948486328"
"46","-170.4619903564453","-170.4619903564453","-170.4619903564453"
"47","-167.4552001953125","-167.4552001953125","-167.4552001953125"
"48","-170.1425018310547","-170.1425018310547","-170.1425018310547"
"49","-165.9829864501953","-165.9829864501953","-165.9829864501953"
"50","-166.822265625","-166.822265625","-166.822265625"
"51","-167.6526336669922","-167.6526336669922","-167.6526336669922"
"52","-166.6042938232422","-166.6042938232422","-166.6042938232422"
"53","-169.4034423828125","-169.4034423828125","-169.4034423828125"
"54","-171.75877380371094","-171.75877380371094","-171.75877380371094"
"55","-167.8472442626953","-167.8472442626953","-167.8472442626953"
"56","-169.41310119628906","-169.41310119628906","-169.41310119628906"
"57","-168.9833526611328","-168.9833526611328","-168.9833526611328"
"58","-166.13128662109375","-166.13128662109375","-166.13128662109375"
"59","-168.04336547851562","-168.04336547851562","-168.04336547851562"
"60","-169.0517578125","-169.0517578125","-169.0517578125"
"61","-169.34422302246094","-169.34422302246094","-169.34422302246094"
"62","-168.20626831054688","-168.20626831054688","-168.20626831054688"
"63","-164.6432647705078","-164.6432647705078","-164.6432647705078"
"64","-167.45021057128906","-167.45021057128906","-167.45021057128906"
"65","-166.49964904785156","-166.49964904785156","-166.49964904785156"
"66","-167.35964965820312","-167.35964965820312","-167.35964965820312"
"67","-166.0967559814453","-166.0967559814453","-166.0967559814453"
"68","-167.06097412109375","-167.06097412109375","-167.06097412109375"
"69","-167.46359252929688","-167.46359252929688","-167.46359252929688"
"70","-169.01702880859375","-169.01702880859375","-169.01702880859375"
"71","-168.10922241210938","-168.10922241210938","-168.10922241210938"
"72","-168.72926330566406","-168.72926330566406","-168.72926330566406"
"73","-164.70046997070312","-164.70046997070312","-164.70046997070312"
"74","-167.9005889892578","-167.9005889892578","-167.9005889892578"
"75","-166.50674438476562","-166.50674438476562","-166.50674438476562"
"76","-166.22377014160156","-166.22377014160156","-166.22377014160156"
"77","-170.27406311035156","-170.27406311035156","-170.27406311035156"
"78","-167.58572387695312","-167.58572387695312","-167.58572387695312"
