"Step","ctrl_cost 0.5 ant leg weight 1 - valid_returns","ctrl_cost 0.5 ant leg weight 1 - valid_returns__MIN","ctrl_cost 0.5 ant leg weight 1 - valid_returns__MAX"
"0","-84.0975570678711","-84.0975570678711","-84.0975570678711"
"1","-86.77156066894531","-86.77156066894531","-86.77156066894531"
"2","-81.51605224609375","-81.51605224609375","-81.51605224609375"
"3","-80.27208709716797","-80.27208709716797","-80.27208709716797"
"4","-75.52210235595703","-75.52210235595703","-75.52210235595703"
"5","-78.20098876953125","-78.20098876953125","-78.20098876953125"
"6","-75.26761627197266","-75.26761627197266","-75.26761627197266"
"7","-77.74054718017578","-77.74054718017578","-77.74054718017578"
"8","-75.24409484863281","-75.24409484863281","-75.24409484863281"
"9","-73.72935485839844","-73.72935485839844","-73.72935485839844"
"10","-74.02555084228516","-74.02555084228516","-74.02555084228516"
"11","-70.93757629394531","-70.93757629394531","-70.93757629394531"
"12","-70.79969024658203","-70.79969024658203","-70.79969024658203"
"13","-68.48068237304688","-68.48068237304688","-68.48068237304688"
"14","-68.5060043334961","-68.5060043334961","-68.5060043334961"
"15","-64.3335189819336","-64.3335189819336","-64.3335189819336"
"16","-64.77732849121094","-64.77732849121094","-64.77732849121094"
"17","-66.71861267089844","-66.71861267089844","-66.71861267089844"
"18","-62.94389724731445","-62.94389724731445","-62.94389724731445"
"19","-64.74852752685547","-64.74852752685547","-64.74852752685547"
"20","-65.45303344726562","-65.45303344726562","-65.45303344726562"
"21","-63.35581970214844","-63.35581970214844","-63.35581970214844"
"22","-58.615596771240234","-58.615596771240234","-58.615596771240234"
"23","-55.2592658996582","-55.2592658996582","-55.2592658996582"
"24","-55.2826042175293","-55.2826042175293","-55.2826042175293"
"25","-55.5430908203125","-55.5430908203125","-55.5430908203125"
"26","-54.98088073730469","-54.98088073730469","-54.98088073730469"
"27","-52.995635986328125","-52.995635986328125","-52.995635986328125"
"28","-52.69813537597656","-52.69813537597656","-52.69813537597656"
"29","-50.330474853515625","-50.330474853515625","-50.330474853515625"
"30","-48.902587890625","-48.902587890625","-48.902587890625"
"31","-51.224090576171875","-51.224090576171875","-51.224090576171875"
"32","-45.662620544433594","-45.662620544433594","-45.662620544433594"
"33","-48.03615188598633","-48.03615188598633","-48.03615188598633"
"34","-44.325557708740234","-44.325557708740234","-44.325557708740234"
"35","-45.3988151550293","-45.3988151550293","-45.3988151550293"
"36","-44.665958404541016","-44.665958404541016","-44.665958404541016"
"37","-40.9139289855957","-40.9139289855957","-40.9139289855957"
"38","-43.60356903076172","-43.60356903076172","-43.60356903076172"
"39","-40.42190933227539","-40.42190933227539","-40.42190933227539"
"40","-40.01035690307617","-40.01035690307617","-40.01035690307617"
"41","-41.42940902709961","-41.42940902709961","-41.42940902709961"
"42","-43.039398193359375","-43.039398193359375","-43.039398193359375"
"43","-40.38368606567383","-40.38368606567383","-40.38368606567383"
"44","-38.244544982910156","-38.244544982910156","-38.244544982910156"
"45","-41.19715881347656","-41.19715881347656","-41.19715881347656"
"46","-40.262229919433594","-40.262229919433594","-40.262229919433594"
"47","-38.028743743896484","-38.028743743896484","-38.028743743896484"
"48","-34.399940490722656","-34.399940490722656","-34.399940490722656"
"49","-34.54301452636719","-34.54301452636719","-34.54301452636719"
"50","-38.283897399902344","-38.283897399902344","-38.283897399902344"
"51","-36.9617805480957","-36.9617805480957","-36.9617805480957"
"52","-37.58445739746094","-37.58445739746094","-37.58445739746094"
"53","-38.015201568603516","-38.015201568603516","-38.015201568603516"
"54","-33.42436981201172","-33.42436981201172","-33.42436981201172"
"55","-36.188533782958984","-36.188533782958984","-36.188533782958984"
"56","-32.117130279541016","-32.117130279541016","-32.117130279541016"
"57","-36.70840835571289","-36.70840835571289","-36.70840835571289"
"58","-33.050132751464844","-33.050132751464844","-33.050132751464844"
"59","-34.41789627075195","-34.41789627075195","-34.41789627075195"
