"Step","half cheetah leg weight - valid_returns","half cheetah leg weight - valid_returns__MIN","half cheetah leg weight - valid_returns__MAX"
"0","41.0517463684082","41.0517463684082","41.0517463684082"
"1","43.62895584106445","43.62895584106445","43.62895584106445"
"2","44.39885330200195","44.39885330200195","44.39885330200195"
"3","46.19285202026367","46.19285202026367","46.19285202026367"
"4","48.53608322143555","48.53608322143555","48.53608322143555"
"5","48.569435119628906","48.569435119628906","48.569435119628906"
"6","52.313228607177734","52.313228607177734","52.313228607177734"
"7","51.11457824707031","51.11457824707031","51.11457824707031"
"8","53.614322662353516","53.614322662353516","53.614322662353516"
"9","56.8541374206543","56.8541374206543","56.8541374206543"
"10","57.29239273071289","57.29239273071289","57.29239273071289"
"11","58.02595520019531","58.02595520019531","58.02595520019531"
"12","59.667930603027344","59.667930603027344","59.667930603027344"
"13","59.24640655517578","59.24640655517578","59.24640655517578"
"14","60.90276336669922","60.90276336669922","60.90276336669922"
"15","63.43960952758789","63.43960952758789","63.43960952758789"
"16","61.86347579956055","61.86347579956055","61.86347579956055"
"17","64.30345153808594","64.30345153808594","64.30345153808594"
"18","65.6272201538086","65.6272201538086","65.6272201538086"
"19","65.85047912597656","65.85047912597656","65.85047912597656"
"20","67.07970428466797","67.07970428466797","67.07970428466797"
"21","67.07881927490234","67.07881927490234","67.07881927490234"
"22","69.04432678222656","69.04432678222656","69.04432678222656"
"23","69.56913757324219","69.56913757324219","69.56913757324219"
"24","69.82304382324219","69.82304382324219","69.82304382324219"
"25","71.6631851196289","71.6631851196289","71.6631851196289"
"26","70.5455093383789","70.5455093383789","70.5455093383789"
"27","72.08916473388672","72.08916473388672","72.08916473388672"
"28","73.34455871582031","73.34455871582031","73.34455871582031"
"29","72.09066772460938","72.09066772460938","72.09066772460938"
"30","74.47509002685547","74.47509002685547","74.47509002685547"
"31","76.000244140625","76.000244140625","76.000244140625"
"32","75.67676544189453","75.67676544189453","75.67676544189453"
"33","75.53276062011719","75.53276062011719","75.53276062011719"
"34","76.69135284423828","76.69135284423828","76.69135284423828"
"35","77.48479461669922","77.48479461669922","77.48479461669922"
"36","78.3658218383789","78.3658218383789","78.3658218383789"
"37","79.76978302001953","79.76978302001953","79.76978302001953"
"38","79.61552429199219","79.61552429199219","79.61552429199219"
"39","81.19515991210938","81.19515991210938","81.19515991210938"
"40","81.42047119140625","81.42047119140625","81.42047119140625"
"41","82.78916931152344","82.78916931152344","82.78916931152344"
"42","82.98619842529297","82.98619842529297","82.98619842529297"
"43","83.16455078125","83.16455078125","83.16455078125"
"44","82.69457244873047","82.69457244873047","82.69457244873047"
"45","84.73063659667969","84.73063659667969","84.73063659667969"
"46","84.84819030761719","84.84819030761719","84.84819030761719"
"47","85.9841079711914","85.9841079711914","85.9841079711914"
"48","86.98609161376953","86.98609161376953","86.98609161376953"
"49","86.37626647949219","86.37626647949219","86.37626647949219"
"50","88.55216979980469","88.55216979980469","88.55216979980469"
"51","87.67173767089844","87.67173767089844","87.67173767089844"
"52","89.07797241210938","89.07797241210938","89.07797241210938"
"53","89.29572296142578","89.29572296142578","89.29572296142578"
"54","90.18238067626953","90.18238067626953","90.18238067626953"
"55","90.09683227539062","90.09683227539062","90.09683227539062"
"56","91.44425964355469","91.44425964355469","91.44425964355469"
"57","90.89208984375","90.89208984375","90.89208984375"
"58","92.59123992919922","92.59123992919922","92.59123992919922"
"59","93.57772827148438","93.57772827148438","93.57772827148438"
"60","92.81444549560547","92.81444549560547","92.81444549560547"
"61","94.51728820800781","94.51728820800781","94.51728820800781"
"62","95.28620147705078","95.28620147705078","95.28620147705078"
"63","96.58290100097656","96.58290100097656","96.58290100097656"
"64","96.70060729980469","96.70060729980469","96.70060729980469"
"65","98.19538879394531","98.19538879394531","98.19538879394531"
"66","98.32006072998047","98.32006072998047","98.32006072998047"
"67","99.42766571044922","99.42766571044922","99.42766571044922"
"68","99.77339935302734","99.77339935302734","99.77339935302734"
"69","102.0395736694336","102.0395736694336","102.0395736694336"
"70","101.49139404296875","101.49139404296875","101.49139404296875"
"71","103.29480743408203","103.29480743408203","103.29480743408203"
"72","104.17984008789062","104.17984008789062","104.17984008789062"
"73","105.00052642822266","105.00052642822266","105.00052642822266"
"74","105.02828216552734","105.02828216552734","105.02828216552734"
"75","106.78822326660156","106.78822326660156","106.78822326660156"
"76","107.56636810302734","107.56636810302734","107.56636810302734"
"77","108.12963104248047","108.12963104248047","108.12963104248047"
"78","108.98451232910156","108.98451232910156","108.98451232910156"
"79","109.85610961914062","109.85610961914062","109.85610961914062"
"80","110.5582504272461","110.5582504272461","110.5582504272461"
"81","111.5064926147461","111.5064926147461","111.5064926147461"
"82","111.42609405517578","111.42609405517578","111.42609405517578"
"83","113.57876586914062","113.57876586914062","113.57876586914062"
"84","114.08785247802734","114.08785247802734","114.08785247802734"
"85","114.35665893554688","114.35665893554688","114.35665893554688"
"86","113.32170104980469","113.32170104980469","113.32170104980469"
"87","115.7469253540039","115.7469253540039","115.7469253540039"
"88","116.19750213623047","116.19750213623047","116.19750213623047"
"89","117.00443267822266","117.00443267822266","117.00443267822266"
"90","116.3496322631836","116.3496322631836","116.3496322631836"
"91","118.0848617553711","118.0848617553711","118.0848617553711"
"92","119.94168090820312","119.94168090820312","119.94168090820312"
"93","120.93112182617188","120.93112182617188","120.93112182617188"
"94","121.31340026855469","121.31340026855469","121.31340026855469"
"95","122.5318374633789","122.5318374633789","122.5318374633789"
"96","121.46285247802734","121.46285247802734","121.46285247802734"
"97","124.01021575927734","124.01021575927734","124.01021575927734"
"98","124.1905288696289","124.1905288696289","124.1905288696289"
"99","124.14076232910156","124.14076232910156","124.14076232910156"
"100","124.15391540527344","124.15391540527344","124.15391540527344"
"101","125.28141784667969","125.28141784667969","125.28141784667969"
"102","125.57286834716797","125.57286834716797","125.57286834716797"
"103","127.29345703125","127.29345703125","127.29345703125"
"104","127.32528686523438","127.32528686523438","127.32528686523438"
"105","128.91937255859375","128.91937255859375","128.91937255859375"
"106","128.81248474121094","128.81248474121094","128.81248474121094"
"107","129.55941772460938","129.55941772460938","129.55941772460938"
"108","130.4156494140625","130.4156494140625","130.4156494140625"
"109","130.1090087890625","130.1090087890625","130.1090087890625"
"110","132.05772399902344","132.05772399902344","132.05772399902344"
"111","132.59796142578125","132.59796142578125","132.59796142578125"
"112","132.0575408935547","132.0575408935547","132.0575408935547"
"113","134.2384796142578","134.2384796142578","134.2384796142578"
"114","133.15467834472656","133.15467834472656","133.15467834472656"
"115","133.52294921875","133.52294921875","133.52294921875"
"116","135.5541534423828","135.5541534423828","135.5541534423828"
"117","135.70021057128906","135.70021057128906","135.70021057128906"
"118","136.4485626220703","136.4485626220703","136.4485626220703"
"119","135.9631805419922","135.9631805419922","135.9631805419922"
"120","135.82276916503906","135.82276916503906","135.82276916503906"
"121","136.29916381835938","136.29916381835938","136.29916381835938"
"122","138.57730102539062","138.57730102539062","138.57730102539062"
"123","138.04750061035156","138.04750061035156","138.04750061035156"
"124","138.72433471679688","138.72433471679688","138.72433471679688"
"125","139.2802276611328","139.2802276611328","139.2802276611328"
"126","138.81158447265625","138.81158447265625","138.81158447265625"
"127","140.49050903320312","140.49050903320312","140.49050903320312"
"128","140.48602294921875","140.48602294921875","140.48602294921875"
"129","140.61720275878906","140.61720275878906","140.61720275878906"
"130","140.73837280273438","140.73837280273438","140.73837280273438"
"131","142.15713500976562","142.15713500976562","142.15713500976562"
"132","142.13246154785156","142.13246154785156","142.13246154785156"
"133","143.2776336669922","143.2776336669922","143.2776336669922"
